,model,learning_rate,num_epoch,batch_size,accuracy,precision,recall,f1_score,loss
173,ComplexNN,0.01,15,32,10.09,0.01018081,0.1009,0.01849543101099101,2.362000884628296
174,ComplexNN,0.01,15,64,10.1,0.010201,0.101,0.018530426884650317,2.3590053622402363
175,ComplexNN,0.01,15,128,9.58,0.009177639999999999,0.0958,0.016750574922431097,2.3625312593700025
176,ComplexNN,0.1,2,16,8.92,0.007956640000000001,0.0892,0.014610062431142126,2.370800646209717
177,ComplexNN,0.1,2,32,9.82,0.00964324,0.0982,0.01756190129302495,2.363784217961629
178,ComplexNN,0.1,2,64,10.28,0.01056784,0.1028,0.019165469713456656,2.3567065882530294
179,ComplexNN,0.1,2,128,9.8,0.009604000000000001,0.098,0.017493624772313296,2.3624368654385304
180,ComplexNN,0.1,5,16,11.35,0.01288225,0.1135,0.023138302649304,2.3487839795430503
181,ComplexNN,0.1,5,32,9.74,0.00948676,0.0974,0.017289520685256063,2.3636342179616294
182,ComplexNN,0.1,5,64,8.92,0.007956640000000001,0.0892,0.014610062431142126,2.370849045609106
183,ComplexNN,0.1,5,128,11.35,0.01288225,0.1135,0.023138302649304,2.348783036030686
184,ComplexNN,0.1,10,16,8.92,0.007956640000000001,0.0892,0.014610062431142126,2.370800646209717
185,ComplexNN,0.1,10,32,10.1,0.010201,0.101,0.018530426884650317,2.3589675512949624
186,ComplexNN,0.1,10,64,9.8,0.009604000000000001,0.098,0.017493624772313296,2.3624701810035624
187,ComplexNN,0.1,10,128,10.09,0.01018081,0.1009,0.01849543101099101,2.362025973130899
188,ComplexNN,0.1,15,16,8.92,0.007956640000000001,0.0892,0.014610062431142126,2.370800646209717
189,ComplexNN,0.1,15,32,9.74,0.00948676,0.0974,0.017289520685256063,2.3636342179616294
190,ComplexNN,0.1,15,64,10.28,0.01056784,0.1028,0.019165469713456656,2.3567399038180614
191,ComplexNN,0.1,15,128,10.1,0.010201,0.101,0.018530426884650317,2.3589664939115806
